NUMBER     CUSTOMER	  TIME	     PRODUCT
17  24	5	apples
8  24	6	baguette
14  25	0	sardines
11  25	1	heineken
19  25	2	chicken
15  25	3	coke
7  25	4	ice_crea
2  25	5	corned_b
16  25	6	peppers
3  26	0	olives
6  26	1	bourbon
15  26	2	coke
5  26	3	turkey
7  26	4	ice_crea
17  26	5	apples
8  26	6	baguette
3  27	0	olives
6  27	1	bourbon
15  27	2	coke
5  27	3	turkey
7  27	4	ice_crea
9  27	5	soda
12  27	6	avocado
9  28	0	soda
3  28	1	olives
6  28	2	bourbon
10  28	3	cracker
11  28	4	heineken
13  28	5	artichok
16  28	6	peppers
3  29	0	olives
6  29	1	bourbon
15  29	2	coke
5  29	3	turkey
7  29	4	ice_crea
14  29	5	sardines
9  29	6	soda
3  30	0	olives
6  30	1	bourbon
15  30	2	coke
5  30	3	turkey
7  30	4	ice_crea
9  30	5	soda
4  30	6	ham
2  31	0	corned_b
16  31	1	peppers
6  31	2	bourbon
10  31	3	cracker
19  31	4	chicken
1  31	5	hering
15  31	6	coke
8  32	0	baguette
14  32	1	sardines
17  32	2	apples
16  32	3	peppers
12  32	4	avocado
2  32	5	corned_b
19  32	6	chicken
9  33	0	soda
3  33	1	olives
6  33	2	bourbon
10  33	3	cracker
11  33	4	heineken
20  33	5	bordeaux
4  33	6	ham
8  34	0	baguette
1  34	1	hering
12  34	2	avocado
13  34	3	artichok
11  34	4	heineken
20  34	5	bordeaux
9  34	6	soda
1  35	0	hering
2  35	1	corned_b
3  35	2	olives
4  35	3	ham
5  35	4	turkey
10  35	5	cracker
8  35	6	baguette
12  36	0	avocado
10  36	1	cracker
13  36	2	artichok
11  36	3	heineken
4  36	4	ham
2  36	5	corned_b
14  36	6	sardines
9  37	0	soda
3  37	1	olives
6  37	2	bourbon
10  37	3	cracker
11  37	4	heineken
17  37	5	apples
18  37	6	steak
8  38	0	baguette
1  38	1	hering
12  38	2	avocado
13  38	3	artichok
11  38	4	heineken
9  38	5	soda
4  38	6	ham
14  39	0	sardines
11  39	1	heineken
19  39	2	chicken
15  39	3	coke
7  39	4	ice_crea
13  39	5	artichok
18  39	6	steak
9  40	0	soda
3  40	1	olives
6  40	2	bourbon
10  40	3	cracker
11  40	4	heineken
13  40	5	artichok
15  40	6	coke
1  41	0	hering
2  41	1	corned_b
17  41	2	apples
3  41	3	olives
18  41	4	steak
8  41	5	baguette
19  41	6	chicken
14  42	0	sardines
11  42	1	heineken
19  42	2	chicken
15  42	3	coke
7  42	4	ice_crea
10  42	5	cracker
18  42	6	steak
9  43	0	soda
3  43	1	olives
6  43	2	bourbon
10  43	3	cracker
11  43	4	heineken
18  43	5	steak
1  43	6	hering
1  44	0	hering
2  44	1	corned_b
3  44	2	olives
4  44	3	ham
5  44	4	turkey
6  44	5	bourbon
11  44	6	heineken
2  45	0	corned_b
16  45	1	peppers
6  45	2	bourbon
10  45	3	cracker
19  45	4	chicken
7  45	5	ice_crea
7  45	6	ice_crea
8  46	0	baguette
14  46	1	sardines
17  46	2	apples
16  46	3	peppers
12  46	4	avocado
19  46	5	chicken
18  46	6	steak
8  47	0	baguette
9  47	1	soda
1  47	2	hering
10  47	3	cracker
11  47	4	heineken
14  47	5	sardines
13  47	6	artichok
2  48	0	corned_b
16  48	1	peppers
6  48	2	bourbon
10  48	3	cracker
19  48	4	chicken
5  48	5	turkey
7  48	6	ice_crea
12  49	0	avocado
10  49	1	cracker
13  49	2	artichok
11  49	3	heineken
4  49	4	ham
14  49	5	sardines
1  49	6	hering
9  50	0	soda
3  50	1	olives
6  50	2	bourbon
10  50	3	cracker
11  50	4	heineken
20  50	5	bordeaux
12  50	6	avocado
8  51	0	baguette
14  51	1	sardines
17  51	2	apples
16  51	3	peppers
12  51	4	avocado
5  51	5	turkey
7  51	6	ice_crea
8  52	0	baguette
9  52	1	soda
1  52	2	hering
10  52	3	cracker
11  52	4	heineken
3  52	5	olives
12  52	6	avocado
8  53	0	baguette
1  53	1	hering
12  53	2	avocado
13  53	3	artichok
11  53	4	heineken
2  53	5	corned_b
19  53	6	chicken
1  54	0	hering
2  54	1	corned_b
3  54	2	olives
4  54	3	ham
5  54	4	turkey
12  54	5	avocado
8  54	6	baguette
8  55	0	baguette
9  55	1	soda
1  55	2	hering
10  55	3	cracker
11  55	4	heineken
2  55	5	corned_b
4  55	6	ham
14  56	0	sardines
11  56	1	heineken
19  56	2	chicken
15  56	3	coke
7  56	4	ice_crea
3  56	5	olives
2  56	6	corned_b
8  57	0	baguette
9  57	1	soda
1  57	2	hering
10  57	3	cracker
11  57	4	heineken
12  57	5	avocado
12  57	6	avocado
9  58	0	soda
3  58	1	olives
6  58	2	bourbon
10  58	3	cracker
11  58	4	heineken
4  58	5	ham
16  58	6	peppers
2  59	0	corned_b
16  59	1	peppers
6  59	2	bourbon
10  59	3	cracker
19  59	4	chicken
18  59	5	steak
17  59	6	apples
8  60	0	baguette
9  60	1	soda
1  60	2	hering
10  60	3	cracker
11  60	4	heineken
13  60	5	artichok
19  60	6	chicken
12  61	0	avocado
10  61	1	cracker
13  61	2	artichok
11  61	3	heineken
4  61	4	ham
1  61	5	hering
18  61	6	steak
1  62	0	hering
2  62	1	corned_b
17  62	2	apples
3  62	3	olives
18  62	4	steak
4  62	5	ham
7  62	6	ice_crea
8  63	0	baguette
1  63	1	hering
12  63	2	avocado
13  63	3	artichok
11  63	4	heineken
18  63	5	steak
5  63	6	turkey
8  64	0	baguette
14  64	1	sardines
17  64	2	apples
16  64	3	peppers
12  64	4	avocado
20  64	5	bordeaux
10  64	6	cracker
8  65	0	baguette
9  65	1	soda
1  65	2	hering
10  65	3	cracker
11  65	4	heineken
19  65	5	chicken
2  65	6	corned_b
8  66	0	baguette
14  66	1	sardines
17  66	2	apples
16  66	3	peppers
12  66	4	avocado
10  66	5	cracker
6  66	6	bourbon
1  67	0	hering
2  67	1	corned_b
17  67	2	apples
3  67	3	olives
18  67	4	steak
15  67	5	coke
9  67	6	soda
3  68	0	olives
6  68	1	bourbon
15  68	2	coke
5  68	3	turkey
7  68	4	ice_crea
14  68	5	sardines
12  68	6	avocado
2  69	0	corned_b
16  69	1	peppers
6  69	2	bourbon
10  69	3	cracker
19  69	4	chicken
9  69	5	soda
7  69	6	ice_crea
8  70	0	baguette
14  70	1	sardines
17  70	2	apples
16  70	3	peppers
12  70	4	avocado
6  70	5	bourbon
6  70	6	bourbon
1  71	0	hering
2  71	1	corned_b
3  71	2	olives
4  71	3	ham
5  71	4	turkey
15  71	5	coke
17  71	6	apples
1  72	0	hering
2  72	1	corned_b
17  72	2	apples
3  72	3	olives
18  72	4	steak
9  72	5	soda
12  72	6	avocado
8  73	0	baguette
14  73	1	sardines
17  73	2	apples
16  73	3	peppers
12  73	4	avocado
5  73	5	turkey
9  73	6	soda
14  74	0	sardines
11  74	1	heineken
19  74	2	chicken
15  74	3	coke
7  74	4	ice_crea
12  74	5	avocado
8  74	6	baguette
2  75	0	corned_b
16  75	1	peppers
6  75	2	bourbon
10  75	3	cracker
19  75	4	chicken
17  75	5	apples
15  75	6	coke
1  76	0	hering
2  76	1	corned_b
3  76	2	olives
4  76	3	ham
5  76	4	turkey
16  76	5	peppers
10  76	6	cracker
3  77	0	olives
6  77	1	bourbon
15  77	2	coke
5  77	3	turkey
7  77	4	ice_crea
10  77	5	cracker
2  77	6	corned_b
8  78	0	baguette
1  78	1	hering
12  78	2	avocado
13  78	3	artichok
11  78	4	heineken
4  78	5	ham
17  78	6	apples
2  79	0	corned_b
16  79	1	peppers
6  79	2	bourbon
10  79	3	cracker
19  79	4	chicken
18  79	5	steak
5  79	6	turkey
12  80	0	avocado
10  80	1	cracker
13  80	2	artichok
11  80	3	heineken
4  80	4	ham
9  80	5	soda
18  80	6	steak
12  81	0	avocado
10  81	1	cracker
13  81	2	artichok
11  81	3	heineken
4  81	4	ham
2  81	5	corned_b
8  81	6	baguette
2  82	0	corned_b
16  82	1	peppers
6  82	2	bourbon
10  82	3	cracker
19  82	4	chicken
1  82	5	hering
17  82	6	apples
1  83	0	hering
2  83	1	corned_b
17  83	2	apples
3  83	3	olives
18  83	4	steak
15  83	5	coke
4  83	6	ham
12  84	0	avocado
10  84	1	cracker
13  84	2	artichok
11  84	3	heineken
4  84	4	ham
1  84	5	hering
9  84	6	soda
1  85	0	hering
2  85	1	corned_b
17  85	2	apples
3  85	3	olives
18  85	4	steak
8  85	5	baguette
5  85	6	turkey
1  86	0	hering
2  86	1	corned_b
3  86	2	olives
4  86	3	ham
5  86	4	turkey
19  86	5	chicken
15  86	6	coke
1  87	0	hering
2  87	1	corned_b
17  87	2	apples
3  87	3	olives
18  87	4	steak
15  87	5	coke
13  87	6	artichok
1  88	0	hering
2  88	1	corned_b
3  88	2	olives
4  88	3	ham
5  88	4	turkey
17  88	5	apples
7  88	6	ice_crea
12  89	0	avocado
10  89	1	cracker
13  89	2	artichok
11  89	3	heineken
4  89	4	ham
18  89	5	steak
3  89	6	olives
8  90	0	baguette
9  90	1	soda
1  90	2	hering
10  90	3	cracker
11  90	4	heineken
16  90	5	peppers
2  90	6	corned_b
8  91	0	baguette
1  91	1	hering
12  91	2	avocado
13  91	3	artichok
11  91	4	heineken
20  91	5	bordeaux
2  91	6	corned_b
8  92	0	baguette
9  92	1	soda
1  92	2	hering
10  92	3	cracker
11  92	4	heineken
7  92	5	ice_crea
19  92	6	chicken
9  93	0	soda
3  93	1	olives
6  93	2	bourbon
10  93	3	cracker
11  93	4	heineken
17  93	5	apples
2  93	6	corned_b
2  94	0	corned_b
16  94	1	peppers
6  94	2	bourbon
10  94	3	cracker
19  94	4	chicken
17  94	5	apples
15  94	6	coke
1  95	0	hering
2  95	1	corned_b
3  95	2	olives
4  95	3	ham
5  95	4	turkey
7  95	5	ice_crea
13  95	6	artichok
14  96	0	sardines
11  96	1	heineken
19  96	2	chicken
15  96	3	coke
7  96	4	ice_crea
2  96	5	corned_b
2  96	6	corned_b
3  97	0	olives
6  97	1	bourbon
15  97	2	coke
5  97	3	turkey
7  97	4	ice_crea
11  97	5	heineken
9  97	6	soda
9  98	0	soda
3  98	1	olives
6  98	2	bourbon
10  98	3	cracker
11  98	4	heineken
18  98	5	steak
14  98	6	sardines
1  99	0	hering
2  99	1	corned_b
17  99	2	apples
3  99	3	olives
18  99	4	steak
16  99	5	peppers
8  99	6	baguette
8  100	0	baguette
14  100	1	sardines
17  100	2	apples
16  100	3	peppers
12  100	4	avocado
9  100	5	soda
15  100	6	coke
1  101	0	hering
2  101	1	corned_b
3  101	2	olives
4  101	3	ham
5  101	4	turkey
16  101	5	peppers
7  101	6	ice_crea
1  102	0	hering
2  102	1	corned_b
3  102	2	olives
4  102	3	ham
5  102	4	turkey
6  102	5	bourbon
6  102	6	bourbon
8  103	0	baguette
9  103	1	soda
1  103	2	hering
10  103	3	cracker
11  103	4	heineken
16  103	5	peppers
14  103	6	sardines
12  104	0	avocado
10  104	1	cracker
13  104	2	artichok
11  104	3	heineken
4  104	4	ham
2  104	5	corned_b
14  104	6	sardines
1  105	0	hering
2  105	1	corned_b
17  105	2	apples
3  105	3	olives
18  105	4	steak
8  105	5	baguette
4  105	6	ham
2  106	0	corned_b
16  106	1	peppers
6  106	2	bourbon
10  106	3	cracker
19  106	4	chicken
8  106	5	baguette
1  106	6	hering
14  107	0	sardines
11  107	1	heineken
19  107	2	chicken
15  107	3	coke
7  107	4	ice_crea
4  107	5	ham
2  107	6	corned_b
8  108	0	baguette
1  108	1	hering
12  108	2	avocado
13  108	3	artichok
11  108	4	heineken
4  108	5	ham
2  108	6	corned_b
9  109	0	soda
3  109	1	olives
6  109	2	bourbon
10  109	3	cracker
11  109	4	heineken
12  109	5	avocado
19  109	6	chicken
8  110	0	baguette
14  110	1	sardines
17  110	2	apples
16  110	3	peppers
12  110	4	avocado
11  110	5	heineken
1  110	6	hering
14  111	0	sardines
11  111	1	heineken
19  111	2	chicken
15  111	3	coke
7  111	4	ice_crea
20  111	5	bordeaux
3  111	6	olives
8  112	0	baguette
14  112	1	sardines
17  112	2	apples
16  112	3	peppers
12  112	4	avocado
19  112	5	chicken
5  112	6	turkey
14  113	0	sardines
11  113	1	heineken
19  113	2	chicken
15  113	3	coke
7  113	4	ice_crea
5  113	5	turkey
1  113	6	hering
3  114	0	olives
6  114	1	bourbon
15  114	2	coke
5  114	3	turkey
7  114	4	ice_crea
18  114	5	steak
11  114	6	heineken
9  115	0	soda
3  115	1	olives
6  115	2	bourbon
10  115	3	cracker
11  115	4	heineken
4  115	5	ham
12  115	6	avocado
1  116	0	hering
2  116	1	corned_b
3  116	2	olives
4  116	3	ham
5  116	4	turkey
6  116	5	bourbon
14  116	6	sardines
14  117	0	sardines
11  117	1	heineken
19  117	2	chicken
15  117	3	coke
7  117	4	ice_crea
17  117	5	apples
17  117	6	apples
3  118	0	olives
6  118	1	bourbon
15  118	2	coke
5  118	3	turkey
7  118	4	ice_crea
1  118	5	hering
4  118	6	ham
1  119	0	hering
2  119	1	corned_b
17  119	2	apples
3  119	3	olives
18  119	4	steak
19  119	5	chicken
4  119	6	ham
8  120	0	baguette
1  120	1	hering
12  120	2	avocado
13  120	3	artichok
11  120	4	heineken
19  120	5	chicken
10  120	6	cracker
8  121	0	baguette
14  121	1	sardines
17  121	2	apples
16  121	3	peppers
12  121	4	avocado
19  121	5	chicken
13  121	6	artichok
8  122	0	baguette
9  122	1	soda
1  122	2	hering
10  122	3	cracker
11  122	4	heineken
6  122	5	bourbon
16  122	6	peppers
9  123	0	soda
3  123	1	olives
6  123	2	bourbon
10  123	3	cracker
11  123	4	heineken
7  123	5	ice_crea
14  123	6	sardines
8  124	0	baguette
1  124	1	hering
12  124	2	avocado
13  124	3	artichok
11  124	4	heineken
9  124	5	soda
19  124	6	chicken
2  125	0	corned_b
16  125	1	peppers
6  125	2	bourbon
10  125	3	cracker
19  125	4	chicken
9  125	5	soda
7  125	6	ice_crea
1  126	0	hering
2  126	1	corned_b
3  126	2	olives
4  126	3	ham
5  126	4	turkey
10  126	5	cracker
18  126	6	steak
3  127	0	olives
6  127	1	bourbon
15  127	2	coke
5  127	3	turkey
7  127	4	ice_crea
16  127	5	peppers
19  127	6	chicken
9  128	0	soda
3  128	1	olives
6  128	2	bourbon
10  128	3	cracker
11  128	4	heineken
15  128	5	coke
19  128	6	chicken
3  129	0	olives
6  129	1	bourbon
15  129	2	coke
5  129	3	turkey
7  129	4	ice_crea
16  129	5	peppers
12  129	6	avocado
12  130	0	avocado
10  130	1	cracker
13  130	2	artichok
11  130	3	heineken
4  130	4	ham
19  130	5	chicken
2  130	6	corned_b
8  131	0	baguette
9  131	1	soda
1  131	2	hering
10  131	3	cracker
11  131	4	heineken
12  131	5	avocado
19  131	6	chicken
1  132	0	hering
2  132	1	corned_b
3  132	2	olives
4  132	3	ham
5  132	4	turkey
17  132	5	apples
18  132	6	steak
9  133	0	soda
3  133	1	olives
6  133	2	bourbon
10  133	3	cracker
11  133	4	heineken
4  133	5	ham
1  133	6	hering
8  134	0	baguette
1  134	1	hering
12  134	2	avocado
13  134	3	artichok
11  134	4	heineken
17  134	5	apples
5  134	6	turkey
14  135	0	sardines
11  135	1	heineken
19  135	2	chicken
15  135	3	coke
7  135	4	ice_crea
1  135	5	hering
16  135	6	peppers
3  136	0	olives
6  136	1	bourbon
15  136	2	coke
5  136	3	turkey
7  136	4	ice_crea
10  136	5	cracker
8  136	6	baguette
1  137	0	hering
2  137	1	corned_b
3  137	2	olives
4  137	3	ham
5  137	4	turkey
19  137	5	chicken
7  137	6	ice_crea
14  138	0	sardines
11  138	1	heineken
19  138	2	chicken
15  138	3	coke
7  138	4	ice_crea
5  138	5	turkey
4  138	6	ham
12  139	0	avocado
10  139	1	cracker
13  139	2	artichok
11  139	3	heineken
4  139	4	ham
19  139	5	chicken
2  139	6	corned_b
8  140	0	baguette
1  140	1	hering
12  140	2	avocado
13  140	3	artichok
11  140	4	heineken
19  140	5	chicken
16  140	6	peppers
9  141	0	soda
3  141	1	olives
6  141	2	bourbon
10  141	3	cracker
11  141	4	heineken
20  141	5	bordeaux
12  141	6	avocado
14  142	0	sardines
11  142	1	heineken
19  142	2	chicken
15  142	3	coke
7  142	4	ice_crea
17  142	5	apples
9  142	6	soda
12  143	0	avocado
10  143	1	cracker
13  143	2	artichok
11  143	3	heineken
4  143	4	ham
20  143	5	bordeaux
15  143	6	coke
8  144	0	baguette
1  144	1	hering
12  144	2	avocado
13  144	3	artichok
11  144	4	heineken
6  144	5	bourbon
17  144	6	apples
1  145	0	hering
2  145	1	corned_b
3  145	2	olives
4  145	3	ham
5  145	4	turkey
15  145	5	coke
11  145	6	heineken
12  146	0	avocado
10  146	1	cracker
13  146	2	artichok
11  146	3	heineken
4  146	4	ham
3  146	5	olives
19  146	6	chicken
9  147	0	soda
3  147	1	olives
6  147	2	bourbon
10  147	3	cracker
11  147	4	heineken
17  147	5	apples
2  147	6	corned_b
3  148	0	olives
6  148	1	bourbon
15  148	2	coke
5  148	3	turkey
7  148	4	ice_crea
20  148	5	bordeaux
9  148	6	soda
12  149	0	avocado
10  149	1	cracker
13  149	2	artichok
11  149	3	heineken
4  149	4	ham
18  149	5	steak
19  149	6	chicken
1  150	0	hering
2  150	1	corned_b
3  150	2	olives
4  150	3	ham
5  150	4	turkey
9  150	5	soda
10  150	6	cracker
2  151	0	corned_b
16  151	1	peppers
6  151	2	bourbon
10  151	3	cracker
19  151	4	chicken
18  151	5	steak
17  151	6	apples
8  152	0	baguette
9  152	1	soda
1  152	2	hering
10  152	3	cracker
11  152	4	heineken
12  152	5	avocado
5  152	6	turkey
3  153	0	olives
6  153	1	bourbon
15  153	2	coke
5  153	3	turkey
7  153	4	ice_crea
13  153	5	artichok
17  153	6	apples
8  154	0	baguette
14  154	1	sardines
17  154	2	apples
16  154	3	peppers
12  154	4	avocado
18  154	5	steak
5  154	6	turkey
2  155	0	corned_b
16  155	1	peppers
6  155	2	bourbon
10  155	3	cracker
19  155	4	chicken
14  155	5	sardines
3  155	6	olives
8  156	0	baguette
1  156	1	hering
12  156	2	avocado
13  156	3	artichok
11  156	4	heineken
3  156	5	olives
6  156	6	bourbon
12  157	0	avocado
10  157	1	cracker
13  157	2	artichok
11  157	3	heineken
4  157	4	ham
5  157	5	turkey
7  157	6	ice_crea
2  158	0	corned_b
16  158	1	peppers
6  158	2	bourbon
10  158	3	cracker
19  158	4	chicken
1  158	5	hering
14  158	6	sardines
1  159	0	hering
2  159	1	corned_b
3  159	2	olives
4  159	3	ham
5  159	4	turkey
13  159	5	artichok
19  159	6	chicken
1  160	0	hering
2  160	1	corned_b
17  160	2	apples
3  160	3	olives
18  160	4	steak
16  160	5	peppers
16  160	6	peppers
8  161	0	baguette
14  161	1	sardines
17  161	2	apples
16  161	3	peppers
12  161	4	avocado
3  161	5	olives
13  161	6	artichok
8  162	0	baguette
1  162	1	hering
12  162	2	avocado
13  162	3	artichok
11  162	4	heineken
19  162	5	chicken
6  162	6	bourbon
8  163	0	baguette
14  163	1	sardines
17  163	2	apples
16  163	3	peppers
12  163	4	avocado
4  163	5	ham
15  163	6	coke
14  164	0	sardines
11  164	1	heineken
19  164	2	chicken
15  164	3	coke
7  164	4	ice_crea
6  164	5	bourbon
12  164	6	avocado
12  165	0	avocado
10  165	1	cracker
13  165	2	artichok
11  165	3	heineken
4  165	4	ham
20  165	5	bordeaux
19  165	6	chicken
1  166	0	hering
2  166	1	corned_b
3  166	2	olives
4  166	3	ham
5  166	4	turkey
9  166	5	soda
16  166	6	peppers
2  167	0	corned_b
16  167	1	peppers
6  167	2	bourbon
10  167	3	cracker
19  167	4	chicken
1  167	5	hering
9  167	6	soda
1  168	0	hering
2  168	1	corned_b
3  168	2	olives
4  168	3	ham
5  168	4	turkey
7  168	5	ice_crea
14  168	6	sardines
12  169	0	avocado
10  169	1	cracker
13  169	2	artichok
11  169	3	heineken
4  169	4	ham
6  169	5	bourbon
9  169	6	soda
12  170	0	avocado
10  170	1	cracker
13  170	2	artichok
11  170	3	heineken
4  170	4	ham
14  170	5	sardines
16  170	6	peppers
2  171	0	corned_b
16  171	1	peppers
6  171	2	bourbon
10  171	3	cracker
19  171	4	chicken
11  171	5	heineken
4  171	6	ham
8  172	0	baguette
1  172	1	hering
12  172	2	avocado
13  172	3	artichok
11  172	4	heineken
3  172	5	olives
16  172	6	peppers
9  173	0	soda
3  173	1	olives
6  173	2	bourbon
10  173	3	cracker
11  173	4	heineken
2  173	5	corned_b
8  173	6	baguette
3  174	0	olives
6  174	1	bourbon
15  174	2	coke
5  174	3	turkey
7  174	4	ice_crea
18  174	5	steak
11  174	6	heineken
8  175	0	baguette
9  175	1	soda
1  175	2	hering
10  175	3	cracker
11  175	4	heineken
6  175	5	bourbon
2  175	6	corned_b
14  176	0	sardines
11  176	1	heineken
19  176	2	chicken
15  176	3	coke
7  176	4	ice_crea
10  176	5	cracker
4  176	6	ham
1  177	0	hering
2  177	1	corned_b
17  177	2	apples
3  177	3	olives
18  177	4	steak
12  177	5	avocado
12  177	6	avocado
2  178	0	corned_b
16  178	1	peppers
6  178	2	bourbon
10  178	3	cracker
19  178	4	chicken
4  178	5	ham
1  178	6	hering
8  179	0	baguette
9  179	1	soda
1  179	2	hering
10  179	3	cracker
11  179	4	heineken
3  179	5	olives
7  179	6	ice_crea
3  180	0	olives
6  180	1	bourbon
15  180	2	coke
5  180	3	turkey
7  180	4	ice_crea
16  180	5	peppers
18  180	6	steak
1  181	0	hering
2  181	1	corned_b
17  181	2	apples
3  181	3	olives
18  181	4	steak
6  181	5	bourbon
11  181	6	heineken
8  182	0	baguette
14  182	1	sardines
17  182	2	apples
16  182	3	peppers
12  182	4	avocado
10  182	5	cracker
3  182	6	olives
2  183	0	corned_b
16  183	1	peppers
6  183	2	bourbon
10  183	3	cracker
19  183	4	chicken
5  183	5	turkey
17  183	6	apples
12  184	0	avocado
10  184	1	cracker
13  184	2	artichok
11  184	3	heineken
4  184	4	ham
18  184	5	steak
9  184	6	soda
1  185	0	hering
2  185	1	corned_b
3  185	2	olives
4  185	3	ham
5  185	4	turkey
8  185	5	baguette
11  185	6	heineken
12  186	0	avocado
10  186	1	cracker
13  186	2	artichok
11  186	3	heineken
4  186	4	ham
17  186	5	apples
19  186	6	chicken
8  187	0	baguette
9  187	1	soda
1  187	2	hering
10  187	3	cracker
11  187	4	heineken
20  187	5	bordeaux
15  187	6	coke
14  188	0	sardines
11  188	1	heineken
19  188	2	chicken
15  188	3	coke
7  188	4	ice_crea
1  188	5	hering
6  188	6	bourbon
14  189	0	sardines
11  189	1	heineken
19  189	2	chicken
15  189	3	coke
7  189	4	ice_crea
1  189	5	hering
17  189	6	apples
3  190	0	olives
6  190	1	bourbon
15  190	2	coke
5  190	3	turkey
7  190	4	ice_crea
10  190	5	cracker
18  190	6	steak
1  191	0	hering
2  191	1	corned_b
17  191	2	apples
3  191	3	olives
18  191	4	steak
6  191	5	bourbon
16  191	6	peppers
12  192	0	avocado
10  192	1	cracker
13  192	2	artichok
11  192	3	heineken
4  192	4	ham
6  192	5	bourbon
1  192	6	hering
8  193	0	baguette
1  193	1	hering
12  193	2	avocado
13  193	3	artichok
11  193	4	heineken
20  193	5	bordeaux
14  193	6	sardines
3  194	0	olives
6  194	1	bourbon
15  194	2	coke
5  194	3	turkey
7  194	4	ice_crea
20  194	5	bordeaux
11  194	6	heineken
1  195	0	hering
2  195	1	corned_b
3  195	2	olives
4  195	3	ham
5  195	4	turkey
7  195	5	ice_crea
9  195	6	soda
1  196	0	hering
2  196	1	corned_b
17  196	2	apples
3  196	3	olives
18  196	4	steak
11  196	5	heineken
4  196	6	ham
3  197	0	olives
6  197	1	bourbon
15  197	2	coke
5  197	3	turkey
7  197	4	ice_crea
16  197	5	peppers
13  197	6	artichok
14  198	0	sardines
11  198	1	heineken
19  198	2	chicken
15  198	3	coke
7  198	4	ice_crea
20  198	5	bordeaux
3  198	6	olives
3  199	0	olives
6  199	1	bourbon
15  199	2	coke
5  199	3	turkey
7  199	4	ice_crea
11  199	5	heineken
10  199	6	cracker
2  200	0	corned_b
16  200	1	peppers
6  200	2	bourbon
10  200	3	cracker
19  200	4	chicken
4  200	5	ham
9  200	6	soda
8  201	0	baguette
1  201	1	hering
12  201	2	avocado
